#CODE;UKRAINIAN;x
create_aragon_desc;I can begin a new era in these lands by founding the Kingdom of Aragon.;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;x
create_castille_desc;I can begin a new era in these lands by founding the Kingdom of Castille.;x
EVTDESC_39617;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nOur Liege, the [GetRootFromCompliment] [From.GetTitledNameWithNick] has, in [From.GetHerHis] great wisdom, decided to adopt the [From.Religion.GetName] faith. As [From.GetHerHis] [From.GetLordSpiritualName], I would suggest that you consider doing the same.\n\nIn service of [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] of  [From.PrimaryTitle.GetName];x
EVTOPTA_39617;Very well, I shall embrace this new faith!;x
EVTOPTB_39617;No, I will stand by [Root.Religion.GetRandomGodName]!;x
EVTOPTC_39617;I spit on your gods!;x
EVTDESC62923;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;x
EVTDESC62925;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;x
EVTDESC62927;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;x
EVTDESC62921;[From.GetDynName] has decided to found the [From.PrimaryTitle.GetTier] of León. The ancient [From.PrimaryTitle.GetTier] of Asturias is no more!;x
SM_CONTEXTSOUND;Dynamic Ambient Sounds;x
BUILD_FORT_DESC;Forts can be built in any counties that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.;x
POPULATION_EFFECT_SCALED;$DIRECTION$ $VALUE$ of Population;x
DISBAND_SUBUNIT;Disband Regiment;x
CONFIRM_DISBAND_TITLE_SUBUNIT;Do you wish to dismiss this regiment?;x
create_aragon;Create Aragon;x
create_portugal;Create Portugal;x
create_castille;Create Castille;x
EVTTOOLTIP72035;[This.GetTitledFirstName] is notified about the fate of your opponent.;x
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port;x
PRESTIGE_LAW_PASSED_SETUP;Law Instituted;x
GOV_BUILD_WITH_PIETY_DESC;Uses Piety to build $HOLDINGS_LIST$ Holdings;x
GOVERNMENT_VASSALS_LESS_THAN;Have less than §Y$NUM$§! §Y$GOVERNMENT$§! vassals;x
GOVERNMENT_VASSALS_AT_LEAST;Have at least §Y$NUM$§! §Y$GOVERNMENT$§! vassals;x
FEATURES;Features;x
HINT_SPLASH_2_INTRO;You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle]!;x
UNSELECT_CHAR;Unselect Character;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;x
nomadic_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;x
GOVERNMENT_UNLOCKS;Governments unlocked: ;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;x
IS_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is of Divine Blood;x
IS_NOT_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood;x
SET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n;x
UNSET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n;x
AIREASON_AMBITION;Ambition;x
b_kroran;Krorän;x
b_endere;Endere;x
b_dandan_uilik;Dandan-Uiliq;x
b_korla;Korla;x
b_shanguo;Shanguo;x
b_turfan;Turfan;x
b_tashkurgan;Tashkurgan;x
b_yecheng;Yecheng;x
b_mazar;Mazar;x
b_jiaohe;Jiaohe;x
b_guma;Guma;x
b_wensu;Wensu;x
b_xayar;Xayar;x
b_danhuan;Danhuan;x
b_wutanzili;Wutanzili;x
b_huhu;Huhu;x
b_loulan;Loulan;x
b_kargan;Kargan;x
b_ruoqiang;Ruoqiang;x
b_mocheng;Mocheng;x
b_zuomo;Zuomo;x
b_yuling;Yuling;x
b_jingjue;Jingjue;x
b_jiandu;Jiandu;x
b_shangwangguo;Shangwangguo;x
b_xiuxun;Xiuxun;x
b_wulei;Wulei;x
b_bay;Bay;x
b_toqsu;Toqsu;x
b_awat;Awat;x
b_kelpin;Kelpin;x
b_fukang;Fukang;x
b_qiemi;Qiemi;x
b_balikun;Balikun;x
b_qian_pulei;Qian Pulei;x
b_hou_pulei;Hou Pulei;x
b_yulishi;Yulishi;x
b_karghalik;Karghalik;x
b_weixu;Weixu;x
b_weili;Weili;x
b_weitou;Weitou;x
CHRONICLE_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;x
b_poskam;Poskam;x
b_yopurga;Yopurga;x
b_atush;Atush;x
b_akto;Akto;x
b_ulugqat;Ulugqat;x
b_uqturpan;Uqturpan;x
b_aral;Aral;x
b_qira;Qira;x
