#CODE;UKRAINIAN;x
character_owe_favor;This character will owe you a §YFavor§!.;x
EVTDESC_ZE_22300;While passing judgement onto criminals from the safety of your throne, a young noble is brought before you. You quickly come to the conclusion that the man is indeed guilty. Condemning him might not be the wisest choice, as he is of noble birth. If you were to pardon the man he might prove himself useful to you, as he would be in your debt.;x
EVTOPTA_ZE_22300;Release him! Now, do not forget what I did for you...;x
EVTOPTB_ZE_22300;Being of noble birth means nothing. To the dungeons with him!;x
EVTDESC_ZE_22400;During a particularly heated argument in the council, [target_saved_voter.GetTitledFirstName] stepped in as you were about to make a fool out of yourself. [target_saved_voter.GetSheHeCap] was able to argue for your point, not only saving your face but also winning the argument for you! It is obvious that [target_saved_voter.GetFirstName]'s smooth talking was the sole reason for your success, and denying that fact would likely paint you in a bad light.;x
EVTOPTA_ZE_22400;Thank you! I do truly owe you in return!;x
EVTOPTB_ZE_22400;Bah! I would have won that argument by myself!;x
EVTDESC_ZE_22410;During a particularly heated argument in the council, you stepped in as [From.GetBestName] was making a fool of [From.GetHerselfHimself]. You managed to soothe the debaters and win the argument for [From.GetHerHim]. This turned out to be a great move on your part, as [From.GetSheHe] now feels indebted to you!;x
EVTOPTA_ZE_22410;Now, when to call in the favor...;x
EVTDESC_ZE_22420;During a particularly heated argument in the council, you stepped in as [From.GetBestName] was making a fool of [From.GetHerselfHimself]. You managed to soothe the debaters and win the argument for [From.GetHerHim]. Though this only infuriated [From.GetHerHim], as [From.GetSheHe] wanted to win the argument by [From.GetHerHis] own means! Throwing a tantrum like this has publicly shamed [From.GetFirstName].;x
EVTOPTA_ZE_22420;Ingratitude is the world's reward.;x
EVTDESC_ZE_22500;As the council meeting ends, [target_pious_voter.GetTitledFirstName] pulls you to the side. [target_pious_voter.GetSheHeCap] talks to you at length about the need to respect the authority of [Root.Religion.GetScriptureName] when making decisions in the council. Apparently the council is in agreement on you having neglected to do so, but fortunately [target_pious_voter.GetFirstName] offers to help you!;x
EVTOPTA_ZE_22500;You would do that for me? I am in your debt!;x
EVTOPTB_ZE_22500;No, there is no place for [Root.Religion.GetScriptureName] in politics!;x
EVTDESC_ZE_22510;The council agreed that [From.GetBestName] had been acting in a very impious way, ignoring many wisdoms of [Root.Religion.GetScriptureName]. Being a pious [Root.GetManWoman] you decided to help [From.GetHerHim] not repeat the same mistakes. [From.GetFirstName] was very grateful for this help, and told you that [From.GetSheHe] was in your debt!;x
EVTOPTA_ZE_22510;Excellent, I can make use of this favor.;x
EVTDESC_ZE_22520;The council agreed that [From.GetBestName] had been acting in a very impious way, ignoring many wisdoms of [Root.Religion.GetScriptureName]. Being a pious [Root.GetManWoman] you decided to help [From.GetHerHim] not repeat the same mistake. Though, [From.GetFirstName] was infuriated by what [From.GetSheHe] assumed to be you trying to trick [From.GetHerHim]!;x
EVTOPTA_ZE_22520;No better than a heretic...;x
EVTDESC_ZE_22600;Word has reached you of a [target_foreign_voter.GetJobTitle] in a foreign realm who is of masterful skill and handles [target_foreign_voter.GetHerHis] tasks with ease. Seeing as your own abilities are often doubted by the rest of the Council, perhaps you should write a letter to this '[target_foreign_voter.GetBestName]' and ask for [target_foreign_voter.GetHerHis] advice?;x
EVTOPTA_ZE_22600;Yes, I will write [target_foreign_voter.GetHerHim]!;x
EVTOPTB_ZE_22600;No, why bother...;x
