#CODE;RUSSIAN;x
ACQUISITION_CLAIM;Завоевал как претендент;x
ACQUISITION_HOST;Завоевал как авантюрист;x
ACQUISITION_REVOLT;Завоевал как лидер восстания;x
ACQUISITION_USURP;Мирно узурпировал;x
ACQUISITION_FACTION_DEMAND;Установлен по требованию фракции;x
PERSONAL_OPINION_LOWER_THAN;Личное мнение хуже чем ;x
PERSONAL_OPINION_AT_LEAST;Личное мнение не хуже чем ;x
PERS_OPINION_DIFF_LOWER_THAN;Разница в личном мнении между §Y$FIRST$§! и §Y$SECOND$§! меньше чем §Y$VAL$§!;x
PERS_OPINION_DIFF_AT_LEAST;Разница в личном мнении между §Y$FIRST$§! и §Y$SECOND$§! не меньше чем §Y$VAL$§!;x
RULER_OF_TITLE;$RULER$: $TITLE$;x
EVTDESC38305;Теперь я чаще доверяю людям и принимаю всё, что уготовила мне судьба. Я больше не параноик.;x
EVTDESC38306;Оказывается люди - двуличные твари. Доверчивость - это уже не про меня.;x
EVTDESC38307;С меня уже хватит боли и предательств. Зачем помогать другим причинять мне вред? Я теряю свою доброту.;x
EVTDESC38308;Старые раны оставили на мне след. Шрамы будут об этом напоминать.;x
MEN;мужчины;x
WOMEN;женщины;x
MALE;мужск;x
FEMALE;женск;x
ADULTERER;прелюбодей;x
ADULTERESS;прелюбодейка;x
nick_the_unfaithful;Неверный;x
nick_the_beguiling;Обольститель;x
nick_the_temptress;Искуситель;x
nick_the_seducer;Соблазнитель;x
nick_the_lewd;Похотливый;x
nick_the_lecher;Развратник;x
nick_the_unchaste;Непристойный;x
INSULT_OLD;Стар.;x
INSULT_TADPOLE;головастик;x
INSULT_CHILD;малявка;x
INSULT_VILE;Подл.;x
INSULT_FOUL;Грязн.;x
INSULT_FILTHY;Мерзк.;x
INSULT_CLOWN;придурок;x #Клоун
INSULT_COW;корова;x
INSULT_INFIDEL;Безбожн.;x
INSULT_HERETIC;Еретичн.;x
INSULT_GROTESQUE;квазимодо;x
INSULT_DWARF;карлик;x
INSULT_CLUBFOOT;кривостоп;x
#INSULT_LIMPING;Хромоногий;x
INSULT_HARELIP;морда;x
INSULT_CLEFT_LIPPED;Двуротый;x
INSULT_BASTARD;ублюдок;x
INSULT_BASEBORN;Безродный;x
INSULT_KINSLAYER;родоубийца;x
INSULT_SODOMITE;педераст;x
INSULT_DULLARD;болван;x #Дурак
INSULT_DIM;Тупоголовый;x #Тупой
INSULT_VACUOUS;Слабоумная;x
INSULT_NITWIT;дура;x
INSULT_IMBECILE;имбецил;x
INSULT_FREAK;уродец;x
INSULT_ABOMINATION;выродок;x
INSULT_MONSTROUS;Омерзительный;x
INSULT_HIDEOUS;Отвратительный;x
INSULT_WEAKLING;хиляк;x
INSULT_LESBIAN;ковырялка;x
INSULT_SAPPHIC;Лесбийская;x
INSULT_HUNCHBACK;горбун;x
INSULT_CROOKED;Скрюченный;x
INSULT_LISPER;лепетун;x
INSULT_FALTERING;Шепелявый;x
INSULT_STUTTERING;заика;x
INSULT_GORGON;горгона;x
INSULT_IDIOT;Дебильный;x
INSULT_TORTURER;мучитель;x
INSULT_LECHER;развратник;x
INSULT_LECHEROUS;Похотливый;x
INSULT_GLUTTON;обжора;x
INSULT_GORGING;Прожорливый;x
INSULT_VENAL;Продажная;x
INSULT_INDOLENT;Ленивый;x
INSULT_EVIL;Злобный;x
INSULT_ENVIOUS;Завистливый;x
INSULT_HARRIDAN;стерва;x
INSULT_RAGING;Бешеный;x
INSULT_DECEITFUL;Лживый;x
INSULT_CRAVEN;Трусливый;x
INSULT_COWARD;ссыкун;x
INSULT_SCATTERBRAIN;сумасброд;x
INSULT_ERRATIC;Бестолковый;x
INSULT_BIGOT;изувер;x
INSULT_BIGOTED;Изуверский;x
INSULT_PARANOID;Параноидальный;x
INSULT_FOOL;лопух;x
INSULT_GULLIBLE;Легковерный;x
INSULT_CRUEL;Жестокий;x
INSULT_BRUTE;изверг;x
INSULT_FIEND;злодейка;x
INSULT_CALLOUS;Бессердечная;x
INSULT_WANTON;Развратная;x
INSULT_SENILE;Дряхлый;x
INSULT_CRIPPLE;калека;x
INSULT_VEGETABLE;овощ;x
INSULT_BESOTTED;Бухой;x
INSULT_DRUNKARD;пьяница;x
INSULT_UNCLEAN;Нечистый;x
INSULT_LEPER;Прокажённый;x
INSULT_BAT;психопатка;x
INSULT_DEMONIC;Бесноватый;x
INSULT_DEMENTED;Умалишённый;x
INSULT_LUNATIC;безумец;x
INSULT_LUGUBRIOUS;Унылый;x
INSULT_CRAZED;Чокнутый;x
INSULT_DEVIL_WOMAN;ведьма;x
INSULT_WARLOCK;колдун;x
INSULT_EFFEMINATE;Женоподобный;x
INSULT_UNMANNED;Кастрированный;x
INSULT_EUNUCH;евнух;x
INSULT_BLIND;Слепой;x
INSULT_PEASANT;деревенщина;x
INSULT_PEASANT_WOMAN;деревенщина;x
INSULT_LOWBORN;Безродный;x
INSULT_HERESIARCH;еретик;x
INSULT_SYBARITE;сибарит;x
INSULT_DECADENT;Изнеженный;x
INSULT_WHOREMONGER;потаскун;x
INSULT_WHORING;Блудливый;x
INSULT_DEBASED;Испорченная;x
INSULT_TEMPTRESS;шлюха;x
INSULT_DODDERER;мямля;x
INSULT_DEBAUCHER;дебошир;x
INSULT_LITTLE;Мелкий;x
INSULT_DEGENERATE;Развращённая;x
INSULT_PERVERTED;Развращённый;x
INSULT_TROLLOP;потаскуха;x
INSULT_PRUNE;ханжа;x
INSULT_PRUDE;ханжа;x
INSULT_PRUDISH;Стыдливая;x
INSULT_BORE;Скучный;x
INSULT_IDLER;бездельник;x
INSULT_COVETOUS;Алчный;x
INSULT_SOFT;слизняк;x
INSULT_SPIDER;паук;x
INSULT_WUSSY;Ссыкливая;x
INSULT_TIMID;Боязливый;x
INSULT_COY;Жеманная;x
INSULT_RAPACIOUS;Оборзевший;x
INSULT_GRASPING;Оборзевшая;x
INSULT_UNBELIEVER;Бесстыдник;x
INSULT_NARROWMINDED;Узколобый;x
COMPL_VIVACIOUS;Жизнерадостный;x
COMPL_DEMURE;Скромная;x
COMPL_SINCERE;Искренний;x
COMPL_FORTHRIGHT;Откровенная;x
COMPL_ROGUE;пройдоха;x
COMPL_RAFFISH;Дерзкий;x
COMPL_AFFABLE;Любезный;x
COMPL_WIT;затейник;x
COMPL_DEVIL;чертовка;x
COMPL_IMPISH;Шаловливая;x
COMPL_PIRATE;пират;x
COMPL_BERSERKER;берсерк;x
COMPL_SAOSHYANT;саошиант;x
COMPL_VALKYRIE;валькирия;x
